,genre,counts
0,Comedy,1476
1,Action,997
2,Adventure,747
3,Drama,709
4,Sci-Fi,686
5,Fantasy,678
6,Romance,678
7,Shounen,651
8,School,575
9,SliceofLife,502
10,Supernatural,432
11,Magic,334
12,Mecha,329
13,Shoujo,263
14,Ecchi,259
15,Seinen,235
16,Mystery,233
17,Historical,224
18,Sports,198
19,Harem,182
20,SuperPower,165
21,Kids,151
22,Military,138
23,Space,120
24,Game,111
25,Horror,107
26,Psychological,106
27,Parody,105
28,Music,102
29,Demons,102
30,MartialArts,87
31,Vampire,52
32,Samurai,50
33,Police,44
34,Josei,42
35,Thriller,34
36,ShoujoAi,33
37,ShounenAi,26
38,Cars,21
39,Dementia,14
